HS Code,Item (Arabic),Duty Rate (%)
55144200000,"أقمشة منسوجة, تويل ( سيرجيه) .. بها % 85ألياف غير .. بوليستر .. بقطن بوزن - 170 غم/م2 مطبوعة",0
55144300000,"أقمشة منسوجة أخر بها % 85ألياف غير .. بوليستر .. بقطن, بوزن - 170 غم /م2, مطبوعة (غ.م.ك)",0
55144900000,"أقمشة منسوجة أخر, بها % 85ألياف تركيبية أخر .. بقطن, وزن - 170 غم / م 2, مطبوعة (غ.م.ك)",0
55151100000,"أقمشة منسوجة أخر من ألياف غير مستمرة من بوليستر, مخلوطة .. ألياف حرير فسكوز غير مستمرة",0
55151200000,أقمشة منسوجة أخر من ألياف غير مستمرة من بوليستر مخلوطة.. بشعيرات تركيبية أو اصطناعية,0
55151300000,أقمشة منسوجة أخر من ألياف بوليستر غير مستمرة مخلوطة بصورة رئيسية أو حصرية بصوف أو وبر ناعم,0
55151900000,"أقمشة منسوجة أخر من ألياف غير مستمرة من بوليستر, (غ.م.ك)",0
55152100000,أقمشة منسوجة أخر من ألياف غير مستمرة من أكريليك ... مخلوطة .. رئيسية أو .. شعيرات تركيبية أو اصطناعية,0
55152200000,أقمشة منسوجة أخر من ألياف غير مستمرة من أكريليك مخلوطة بصورة رئيسية او حصرية بصوف أو وبر ناعم,0
55152900000,أقمشة منسوجة أخر من ألياف تركيبية غير مستمرة من أكريليك او مواد اكريليك غير مستمرة,0
55159100000,أقمشة منسوجة من ألياف غير مستمرة تركيبية أخر مخلوطة.. بشعيرات تركيبية أو اصطناعية (غ. م.ك),0
55159900000,"أقمشة منسوجة أخر من ألياف غير مستمرة تركيبية, (غ. م.ك)",0
55161100000,"أقمشة منسوجة, تحتوى - % 85وزنا من ألياف اصطناعية غير مستمرة, مقصورة أو غير مقصورة",0
55161200000,"أقمشة منسوجة, تحتوى <= % 85وزنا من ألياف اصطناعية غير مستمرة, مصبوغة",0
55161300000,"أقمشة منسوجة, تحتوى - % 85وزنا من ألياف اصطناعية غير مستمرة, من خيوط مختلفة الالوان",0
55161400000,"أقمشة منسوجة, تحتوى - % 85وزنا من ألياف اصطناعية غير مستمرة, مطبوعة",0
55162100000,"أقمشة منسوجة, تحتوى % 85وزنا من ألياف اصطناعية ... مخلوطة .. أو اصطناعية . مقصورة أو غير مقصورة",0
55162200000,"أقمشة منسوجة تحتوى % 85وزنا من ألياف اصطناعية ..... مخلوطة .... او اصطناعية, مصبوغة",0
55162300000,أقمشة منسوجة تحتوى % 85وزنا من ألياف اصطناعية ... مخلوطة .. أو اصطناعية من خيوط مختلفة الالوان,0
55162400000,"أقمشة منسوجة تحتوى % 85وزنا من ألياف اصطناعية ..... مخلوطة ..... او اصطناعية, مطبوعة",0
55163100000,"أقمشة منسوجة, تحتوى % 85وزنا من ألياف اصطناعية ... مخلوطة .. بصوف او و برناعم مقصورة أو غير مقصورة",0
55163200000,"أقمشة منسوجة, تحتوى % 85وزنا من ألياف اصطناعية ... مخلوطة .. بصوف او وبرناعم, مصبوغة",0
55163300000,"أقمشة منسوجة, تحوى % 85وزنا من ألياف اصطناعية.. مخلوطة .. بصوف او و برناعم من خيوط مختلفة الالوان",0
55163400000,"أقمشة منسوجة, تحتوى % 85وزنا من ألياف اصطناعية... مخلوطة .. بصوف او وبر ناعم, مطبوعة",0
55164100000,"أقمشة منسوجة, تحتوى % 85وزنا من ألياف اصطناعية ... مخلوطة بصورة.. بقطن مقصورة أو غير مقصورة",0
55164200000,"أقمشة منسوجة, تحتوى < 85% وزنا من ألياف اصطناعية ... مخلوطة بصورة.. بقطن, مصبوغة",0
55164300000,أقمشة منسوجة تحتوى % 85وزنا من ألياف اصطناعية ... مخلوطة بصورة.. بقطن من خيوط مختلفة الالوان,0
55164400000,"أقمشة منسوجة, تحتوى - 85% وزنا من ألياف اصطناعية... مخلوطة بصورة.. بقطن, مطبوعة",0
55169100000,"أقمشة منسوجة أخر, من ألياف غير مستمرة اصطناعية, مقصورة أو غير مقصورة (غ. م.ك)",0
55169200000,"أقمشة منسوجة أخر, من ألياف غير مستمرة اصطناعية, مصبوغة, (غ.م.ك)",0
55169300000,"أقمشة منسوجة أخر, من ألياف غير مستمرة اصطناعية, من خيوط مختلفة الالوان, (ع.م.ك)",0
55169400000,"أقمشة منسوجة أخر, من ألياف غير مستمرة اصطناعية, مطبوعة, (غ.م.ك)",0
56012100000,حشو وأصناف أخر من حشو من قطن,0
56012200000,حشو وأصناف أخر من حشو من ألياف تركيبية أو صناعية,0
56012900000,حشو وأصناف أخر من حشو من مواد نسجية (غ. م.ك),0
56013000000,زغب ألياف نسجية ( بطول 5 مم) و غبار نسجي وعقد من مواد نسجية,0
56021000000,"لباد إبرة ومنتجات التجميع - بالغرز"""" للألياف",0
56022100000,لباد أخر غير مشرب ولا مطلي ولا مكسو ولا منضد من صوف أو من وبر ناعم,0
56022900000,لباد أخر غير مشرب ولا مطلى ولا مكسو ولا منضد من مواد نسجية أخر,0
56029000000,لباد آخر (غ.م.ك),0
56031100000,أقمشة غير منسوجة من شعيرات تركيبية أو صناعية بوزن 25 غم م 2,5
56031200000,"أقمشة غير منسوجة من شعيرات تركيبية أو صناعية $2p/p\dot{t}70>,2p/p\dot{t}25<\dot{\omega}js:$",5
56031300000,"أقمشة غير منسوجة من شعيرات تركيبية أو صناعية, بوزن 70 غم م و 150 2 غم م 2",0
56031400000,أقمشة غير منسوجة من شعيرات تركيبية أو صناعية بوزن 150 غم م 2,0
56039100000,أقمشة غير منسوجة (غ. م.ك) بوزن 25 غم م 2,0
56039200000,أقمشة غير منسوجة (غ. م.ك) بوزن 25 غم م 2 و 70 غم م 2,0
56039300000,أقمشة غير منسوجة (غ. م.ك) بوزن 70 و 150 غم/م2,0
56039400000,أقمشة غير منسوجة (غ. م.ك) بوزن 150 غم م 2,0
56041000000,"خيوط وحبال من مطاط ، مغطاة بمواد نسجية",0
56049020000,خيوط نسجية وصفيحات وأشكال مماثلة من أصناف البندين (5404-5405) مشربة .. الخ (غ. م.ل),0
56049090000,خيوط نسجية وصفيحات وأشكال مماثلة من أصناف البندين () 5404-5405مشربة .. الخ (غ. م.ك),5
56050000000,خيوط نسجية ممعدنة وان كانت بريما من خيوط نسجية أو صفيحات .. أو ما شابة من أصناف (5405 .. )5404الخ(,0
56060000000,"خيوط بريم ، وبريم من صفيحات وأشكال مماثلة مما يدخل في البند 54.04 أو البند 54.05 ، عدا أصناف",البند 56.05 وعدا خيوط بريم شعر الخيل ....
56072100000,"خيوط ربط أو حزم, من سيزال أو من ألياف نسجية أخر من نوع أجاف, وإن كانت مشربة أو .. الخ",5
56072900000,"حبال وأمراس من سيزال أو ألياف نسجية أخر من نوع أجاف, وإن كانت مشربة أو .. الخ",5
56074100000,"خيوط ربط أو حزم من بولي إثيلين أوبولي بروبلين, وإن كانت مشربة أو ...",5
56074900000,"حبال وأمراس, من بولي إيثيلين أو بولي بروبلين, وإن كانت مشربة أو ...",5
56075000000,"خيوط حزم وحبال وأمراس, من ألياف تركيبية أخر, (غ.م.ك)",5
56079000000,خيوط حزم وحبال وأمراس أخر (غ.م.ك),0
56081100100,شباك جاهزة لصيد الأسماك من مواد نسجية صناعية أو تركيبية ذات ثقب أقل من 20 مم (عقرب البحر),0
56081100900,شباك جاهزة لصيد الأسماك من مواد نسجية صناعية أو تركيبية,0
56081900000,"شباك بعيون معقودة من خيوط حزم أو .. حبال, وشباك (غ. م.ك) من مواد نسجية صناعية أو تركيبية",5
56089000000,شباك بعيون معقودة من خيوط حزم أو .. حبال وشباك جاهزة لصيد الأسماك.. إلخ من مواد نسجية أخر (غ.م.ك,5
56090000000,"أصناف مصنوعة من خيوط او صفيحات أو أشكال مماثلة، داخلة في البند 54.04 أو البند 54.05 أو من خيوط حزم أو أمرأس أو حبال، غير مذكورة ولا داخ",0
57011000000,سجاد وأغطية أرضيات أخر من صوف أو من وبر ناعم ذات خمل معقود,15
57019000000,سجاد وأغطية أرضيات أخر من مواد نسجية (غ. م.ك). ذات خمل معقود,15
57021000000,كليم أو شوماك أو كرماني وبسط مماثلة يدوية الحياكة من مواد نسجية غير ما هو بعفارات.. مغروزة,15
57022000000,"أغطية أرضيات منسوجة من ألياف جوز الهند, غير ما هو بعفارات أو بألياف مغروزة",15
57023100000,"سجاد وأغطية أرضيات أخر منسوجة مخملية غير جاهزة من صوف أو من وبرناعم, غير ما هو بعفارات.. مغروزة",15
57023200000,"سجاد وأغطية أرضيات أخر منسوجة مخملية غير جاهزة, من مواد نسجية تركيبية أو صناعية غير ما هو .. مغروزة",15
57023900000,"سجادو أغطية أرضيات أخر منسوجة مخملية غير جاهزة من مواد نسجية أخر (غ. م.ك), غير ما هو بعقارات.. مغروز",15
57024100000,"سجاد وأغطية أرضيات أخر منسوجة مخملية جاهزة من صوف أو من وبرناعم, غير ماهو بعفارات.. مغروز",15
57024200000,سجاد وأغطية أرضيات أخر منسوجة مخملية جاهزة من مواد نسجية تركيبية أو صناعية غير ما هو .. مغروز,15
57024900000,"سجاد وأغطية أرضيات أخر منسوجة مخملية جاهزة من مواد نسجية أخر (غ. م.ك), غير ما هو بعفارات.. مغروزة",15
57025000000,سجاد وأغطية أرضيات أخر منسوجة غير مخملية غير جاهزة من مواد نسجية غير ما هو .. مغروزة,15
57029100000,"سجاد و أغطية أرضيات أخر منسوجة غير مخملية جاهزة من صوف أو من وبرناعم, غير ما هو بعفارات.. مغروز",15
57029200000,سجاد و أغطية أرضيات أخر منسوجة غير مخملية جاهزة من مواد نسجية تركيبية أو صناعية غير ما هو .. مغروز,15
57029900000,"سجاد و أغطية أرضيات أخر منسوجة غير مخملية جاهزة من مواد نسجية (غ. م.ك), غير ما هو بعفارات.. مغروزة",15
57031000000,سجاد واغطية أرضيات أخر ذات عفارات من صوف أو من وبر ناعم,15
57032100000,"سجاد وأغطية أرضيات عشبي (نجيل) ، من نايلون أو من بولي أميدات أخر",15
57032900000,"غيرها من سجاد وأغطية أرضيات أخر، من نايلون أو من بولي أميدات أخر (عدا النجيل الصناعيه",15
57033100000,"سجاد وأغطية أرضيات أخر، عشبي (نجيل) ، من مواد نسجية تركيبية أو صناعية آخر",15
57033900000,"غيرها من سجاد وأغطية أرضيات أخر، من مواد نسجية تركيبية أو صناعية أخر (عدا العشبي (النجيل) (",15
57039000000,"سجاد وأغطية أرضيات أخر, ذات عفارات من مواد نسجية (غ.م.ك)",15
57041000000,"سجاد وأغطية أرضيات أخر من لباد, مربعات مساحة سطحها 20.3 غير ما هو بعفارات أو بألياف مغروزة",15
57042000000,مربعات تتجاوز مساحة سطحها 0.3م2 ولكن لا تزيد عن 1م2,15
57049000000,"سجاد و أغطية أرضيات أخر, من لباد غير ما هو بعقارات أو بألياف مغروزة, (غ.م.ك)",15
57050000000,سجاد وأغطية أرضيات أخر من مواد نسجية (غ. م.ك),15
58011000000,أقمشة منسوجة ذات خمل قصيرة قطيفة) أو طويلة ( بلوش) ونسج من خيوط قطيفية (شينيل) من صوف أو وبرناع,0
58012100000,أقمشة منسوجة ذات خمل من اللحمة غير مقصوصة من قطن,0
58012200000,"أقمشة منسوجة ذات خمل من اللحمة, مقصوصة مضلعة (كوردروي) من قطن",0
58012300000,أقمشة منسوجة ذات خمل من اللحمة (غ. م.ك) من قطن,0
58012600000,أقمشة منسوجة من خيوط قطيفية (شينيل) من قطن,0
58012700000,"أقمشة منسوجة ذات خمل من السدى, من قطن",0
58013100000,أقمشة منسوجة ذات خمل من اللحمة غير مقصوصة من ألياف تركيبية أو صناعية,0
58013200000,أقمشة منسوجة ذات خمل من اللحمة غير مقصوصة من ألياف تركيبية أو صناعية,0
58013300000,أقمشة منسوجة ذات خمل من اللحمة (غ. م.ك) من ألياف تركيبية أو صناعية,0
58013600000,أقمشة منسوجة من خيوط قطيفية (شينيل) من ألياف تركيبية أو صناعية,0
58013700000,"أقمشة منسوجة ذات خمل من السدى, من ألياف تركيبية أو صناعية",0
58019000000,"أقمشة منسوجة ذات خمل قصيرة ( قطيفة) أو طويلة ( بلوش) ونسج من خيوط قطيفية من مواد نسجية أخر, )(غ.م.ك",0
58021000000,"أقمشة منسوجة مزردة من النوع الاسفنجي نسج المناشف وما يماثلها """"تيري"""")، من قطن",5
58021100000,"أقمشة منسوجة مزردة من النوع الأسفنجي, غير مقصورة من قطن, عدا الأصناف الداخلة في البند 5806",5
58021900000,"أقمشة منسوجة مزردة من النوع الأسفنجي (غ. م.ك) من قطن, عدا الأصناف الداخلة في البند 5806",5
58022000000,"أقمشة منسوجة مزردة من النوع الأسفنجي من مواد نسجية أخر, عدا الأصناف الداخلة في البند 5806",5
58023000000,أقمشة ذات عفارات من مواد نسجية عدا المنتجات الداخلة في البند 5703,5
58030000000,"نسج بعقدة غزية، عدا الأصناف الداخلة في البند 58.06",0
58041000000,"تول وتول بوبينو وأقمشة شبكية أخر, عدا الأقمشة المنسوجة أو المصنرة أو الكروشيه",5
58042100000,"مسننات آلية الصنع, من ألياف تركيبية أو صناعية أثواب أو .. زخارف, عدا أصناف البنود 6002 ولغاية 6006",5
58042900000,"مسننات آلية الصنع من مواد نسجية أخر (غ. م.ك) أثواب أو .. زخارف, عدا أصناف البنود 6002 ولغاية 6006",5
58043000000,"مسننات يدوية الصنع من مواد نسجية أثواب أو أشرطة أو زخارف, عدا أصناف البنود 6002 ولغاية 6006",5
58050000000,ديابيج يدوية النسج من أنواع جوبلان أو فلاندر أو أوبيسون وما يماثلها وديابيج مشغولة بالأبرة,5
58061000000,شرائط من أقمشة منسوجة ذات خمل قطيفة أو بلوش أو مزردة (إسفنجية) أو من خيوط قطيفية (شينيل),0
58062000000,شرائط منسوجة أخر تحتوى 5% وزنا من خيوط قابلة للمط أو من خيوط مطاط,0
58063100000,شرائط منسوجة أخر (غ. م.ك) من قطن,0
58063200000,شرائط منسوجة أخر. (غ. م.ك) من ألياف تركيبية أو صناعية,0
58063900000,"شرائط منسوجة أخر, (غ. م.ك) من مواد نسجية أخر",0
58064000000,شرائط سداء دون لحمة من خيوط أو ألياف متوازية مجمعة بواسطة لاصق,0
58071000000,منسوجة,0
58079000000,"رقاع وشارات وأصناف مماثلة من مواد نسجية أثواب أو أشرطة أو .. معينة غير مطرزة, عدا المنسوجة (غ. م.ك)",0
58081000000,ضفائر أثوابا,5
58089010000,شراشيب سجاد,0
58089090000,"عقادة وأصناف زينة مماثلة أثواب بدون تطريز, عدا المصنرة أو الكروشية : طرزو شراريب وأصناف.. (غ. م.ك)",5
58090000000,أقمشة منسوجة من خيوط معدنية أو ممعدنة للألبسة أو المفروشات أو لإستعمالات مماثلة (غ.م.ك),0
58101000000,مطرزات بدون أرضية ظاهرة كيماوية أو هوائية أو مقصوصة الأرضية),5
58109100000,مطرزات أخر (غ. م.ك) من قطن,5
58109200000,مطرزات أخر (غ.م.ك) من ألياف تركيبية أو صناعية,5
58109900000,مطرزات أخر. (غ. م.ك) من مواد نسجية أخر (غ. م.ك),5
58110000000,"منتجات نسجية ذات حشو ، اثوابا ، تتكون من طبقة أو أكثر من مواد نسجية مضمومة إلى حشو بالغرز او بطريقة أخرى ، عدا المطرزات الداخلة في ....",0
58491400000,غير مصنفة وغير محتوية على رصاص أو كادميوم أو زئبق,58
59011000000,نسج مطلية بصمغ أو بغراء أو بمواد نشوية للتغليف الخارجي للكتب وما شابهها,0
59019000000,نسج للإستشفاف وللرسم و بكرام وغيرها من نسج مقساة لصناعة القبعات (غ. م.ك),0
59021000000,"نسج للإطارات الخارجية من خيوط شديدة التماسك, من نايلون أو من بولي أميدات أخر",0
59022000000,"نسج للإطارات الخارجية من خيوط شديدة التماسك, من بوليسترات",0
59029000000,"نسج للإطارات الخارجية من خيوط شديدة التماسك, من حرير فسكوز",0
59031000000,"نسج مشربة أو مطلية أو مغطاة أو منضدة بكلوريد ( البولي فينيل, عدا الداخلة في البند 5902",0
59032000000,"نسج مشربة أو مطلية أو مغطاة أو منضدة ببيولي يوريثان, عدا الداخلة في البند 5902",0
59039000000,"نسج مشربة أو مطلية أو مغطاة أو منضدة بلدائن, عدا الداخلة في البند 5902 (غ. م.ك)",0
59041000000,مشمع أرضية,5
59049010000,أغطية أرضيات مكونة من طلاء أو غطاء على حامل من لباد إبرة,5
59049020000,أغطية أرضيات مكونة من طلاء أو غطاء على حامل نسجي آخر (غ. م.ك) مستوردة من قبل المصانع كمدخل انتاج,5
59049090000,أغطية أرضيات مكونة من طلاء أو غطاء على حامل نسجي آخر (غ. م.ك),5
59050000000,أغطية جدران من مواد نسجية,5
59061000000,أشرطة لاصقة بعرض 20 سم من نسج ممططة,0
59069100000,"نسج ممططة عدا التابعة للبند (5902 (غ. م.ك), مصنرة أو كروشيه",0
59069900000,نسج ممططة عدا التابعة للبند 5902 (غ.م.ك),0
59070010000,نسجة اخر .. نسج ( الكانفا) المتضمنة رسوما للمشاهد ... المستوردة من قبل المصانع كمدخلات انتاج,0
59070090000,نسج أخر مشربة أو مطلية .. . نسج مرسوم عليها مناظر خلفية للمسارح والمراسم أو لإستعمال مماثل (غ.م.ك),5
59080000000,"فتائل منسوجة أو مضفورة أو مصنرة من مواد نسجية، للمصابيح والمواقد والقداحات والشموع أو ما يماثلها رتائن (أغشية) وهاجة المصابيح الغاز .....",0
59090000100,خراطيم كتانية لانظمة الاطفاء,5
59090000900,خراطيم أنبوبية من مواد نسجية وأنابيب نسجية مماثلة,5
59100000000,"سيور نقل الحركة أو المواد من مواد نسجية, وإن كانت مبطنة أو مقواة بمعدن أو مزودة بلوازم معدنية",0
59111000000,"الأقمشة المنسوجة، واللباد والنسج المبطنة بلباد، المطلية أو المغطاة أو المنضدة بمطاط أو بجلد أو بأية مادة أخرى من الأنواع ....",0
59112000000,"نسج النخل, وإن كانت جاهزة",5
59113100000,"أقمشة منسوجة ولباد, متصلة أو موصولة الأطراف, مزودة بأدوات ربط لآلات صنع الورق... بوزن 650 غم م 2",0
59113200000,"أقمشة منسوجة ولباد, متصلة أو موصولة الأطراف مزودة بأدوات ربط لآلات صنع الورق... بوزن 650 غم / 2م",0
59114010000,نسج التصفية والنسج السميكة المستعملة في معاصر الزيتون,0
59114020000,نسج التصفية والنسج السميكة للأصناف المستخدمة في الحفاظ علي صحة البيئة,0
59114090000,"نسج التصفية والنسج السميكة, (غ. م.ك)",5
59119000000,منتجات وأصناف نسجية لاستعمالات فنية محددة في الملاحظة (8) من هذا الفصل (غ. م.ك),0
60011000000,أقمشة طويلة الخمل مصنرة أو كروشيه,0
60012100000,"أقمشة مزردة ( بوبرة دائرية غير مقصوصة من قطن, مصنرة أو كروشيه",0
60012200000,أقمشة مزردة ( بوبرة دائرية غير مقصوصة من ألياف تركيبية أو صناعية مصنرة أو كروشيه,0
60012900000,أقمشة مزردة بوبرة دائرية غير مقصوصة من مواد نسجية أخر مصنرة أو كروشيه,0
60019100000,"أقمشة ذات خمل (غ. م.ك) من قطن, مصنرة أو كروشيه",0
60019200000,"أقمشة ذات خمل (غ.م.ك), من ألياف تركيبية أو صناعية, مصنرة أو كروشيه",0
60019900000,"أقمشة ذات خمل (غ. م.ك) من مواد نسجية أخر (غ. م.ك), مصنرة أو كروشيه",0
60024000000,أقمشة مصنرة بعرض سم 30 تحتوي % 5وزنا خيوط قابلة للمط . عدا الداخلة في البند 6001,0
60029000000,"أقمشة مصنرة اخر بعرض سم 30 (غ. م.ك), عدا الداخلة في البند 6001",0
60031000000,اقمشة مصنرة بعرض % 30سم من صوف او وبر ناعم عدا الداخلة في البندين 6001 و 6002,0
60032000000,اقمشة مصنرة بعرض 30 سم من قطن عدا الداخلة في البندين و 60026001,0
60033000000,اقمشة مصنرة بعرض 30 سم من الياف تركيبية عدا الداخلة في البندين 6001 و 6002,0
60034000000,اقمشة مصنرة بعرض 30 سم من الياف صناعية عدا الداخلة في البندين 6001 و 6002,0
60039000000,اقمشة مصنرة بعرض 30 سم (م.غ.ك) عدا الداخلة في البندين 6001 و 6002,0
60041000000,أقمشة مصنرة بعرض سم 30 تحتوي % 5وزنا خيوط قابلة للمط. عدا الداخلة في البند 6001,0
60049000000,"أقمشة مصنرة اخر بعرض سم 30 (غ. م.ك), عدا الداخلة في البند 6001",0
60052100000,مصنرات السدى من قطن غير مقصورة او مقصورة عدا الداخلة فيالبنود 6001 ولغاية 6004,0
60052200000,مصنرات السدى من قطن مصبوغة عدا الداخلة فيالبنود 6001 ولغاية 6004,0
60052300000,مصنرات السدى من قطن من خيوط ذات الوان مختلفة عدا الداخلة فيالبنود 6001 ولغاية 6004,0
60052400000,مصنرات السدى من قطن مطبوعة عدا الداخلة في البنود 6001 ولغاية 6004,0
60053100000,مصنرات السدى من الياف تركيبية مقصورة او غير مقصورة عدا الداخلة فيالبنود 6001 ولغاية 6004,0
60053200000,مصنرات السدى من الياف تركيبية مصبوغة عدا الداخلة فيالبنود 6001 ولغاية 6004,0
60053300000,مصنرات السدى من الياف تركيبية من خيوط ذات الوان مختلفة عدا الداخلة فيالبنود 6001 ولغاية 6004,0
60053400000,مصنرات السدى من الياف تركيبية مطبوعة عدا الداخلة فيالبنود 6001 ولغاية 6004,0
60053500000,- الأقمشة المحددة في ملاحظة البند الفرعي 1 لهذا الفصل,0
60053600000,"غيرها، غير مقصورة أو مقصورة",0
60053700000,"غيرها، مصبوغة",0
60053800000,"غيرها، من خيوط ذات ألوان مختلفة",0
60053900000,"غيرها، مطبوعة",0
60054100000,مصنرات السدى من الياف اصطناعية غير مقصورة او مقصورة عدا الداخلة فيالبنود 6001 ولغاية 6004,0
60054200000,مصنرات السدى من الياف اصطناعية مصبوغة عدا الداخلة في البنود 6001 ولغاية 6004,0
60054300000,مصنرات السدى من الياف اصطناعية من خيوطذات الوان مختلفة عدا الداخلة فيالبنود 6001 ولغاية 6004,0
60054400000,"مصنرات السدى من الياف اصطناعية مطبوعة, عدا الداخلة فيالبنود 6001 ولغاية 6004",0
60059000000,مصنرات السدى المصنعة على الات تصنير الاشرطة) (غ. م. ك ) عدا الداخلة في البنود 6001 ولغاية . 6004,0
60061000000,أقمشة مصنرة أو كروشيه أخر من صوف او وبر ناعم (غ.م.ك),0
60062100000,أقمشة مصنرة أو كروشيه أخر من قطن غير مقصورة او مقصورة (غ.م.ك),0
60062200000,"أقمشة مصنرة أو كروشيه أخر من قطن, مصبوغة (غ.م.ك)",0
60062300000,أقمشة مصنرة أو كروشيه أخر من قطن من خيوط ذات الوان مختلفة (ع.م.ك),0
60062400000,"أقمشة مصنرة أو كروشيه أخر من قطن, مطبوعة, (غ. م.ك)",0
60063100000,أقمشة مصنرة أو كروشيه أخر من الياف تركيبية غير مقصورة او مقصورة (غ. م.ك),0
60063200000,"أقمشة مصنرة أو كروشيه أخر من الياف تركيبية, مصبوغة (غ. م.ك)",0
60063300000,أقمشة مصدرة أو كروشيه أخر من الياف تركيبية (غ. م.ك) من خيوط ذات الوان مختلفة,0
60063400000,"أقمشة مصدرة أو كروشيه أخر من الياف تركيبية, مطبوعة (غ. م.ك)",0
60064100000,أقمشة مصنرة أو كروشيه أخر من الياف اصطناعية غير مقصوره او مقصورة (غ. م.ك),0
60064200000,"أقمشة مصنرة أو كروشيه أخر من الياف اصطناعية, مصبوغة (غ. م.ك)",0
60064300000,أقمشة مصدرة أو كروشيه أخر من الياف اصطناعية من خيوط ذات الوان مختلفة (غ. م.ك),0
60064400000,"أقمشة مصدرة أو كروشيه أخر من الياف اصطناعية مطبوعة, (غ.م.ك)",0
60069000000,"أقمشة مصنرة أو كروشيه أخر, (غ.م.ك)",0
61012000000,معاطف وأقبية وعباءات .. مماثلة للرجال أو الصبية من مصنرات او كروشية باسثناء اصناف البند من6103 قطن,5
61013000000,"معاطف وأقبية وعباءات .. مماثلة للرجال أو الصبية من مصنرات أو كروشيه باسثناء اصناف البند , 6103من ألياف تركيبية أو صناعية",5
61019000000,معاطف وأقبية وعباءات.. مماثلة للرجال أو الصبية من مصنرات أو كروشيه باسثناء اصناف البند من6103 مواد نسجية اخر (غ. م.ك),5
61021000000,معاطف وأقبية وعباءات .. مماثلة للنساء أو البنات من مصنرات أو كروشيه باسثناء اصناف البند 6104 من صوف أو وبر ناعم,5
61022000000,معاطف وأقبية و عباءات .. مماثلة للنساء أو البنات من مصنرات أو كروشيه اسثناء اصناف البند 6104 من قطن,5
61023000000,معاطف وأقبية و عباءات. . مماثلة للنساء أو البنات من مصنرات او كروشيه باسثناء اصناف البند من6104 ألياف تركيبية أو صناعية,5
61029000000,معاطف وأقبية وعباءات.. مماثلة مصنرة أو كروشيه للنساء أو البنات من مصنرات أو كروشيه اسثناء اصناف البند 6104 من مواد نسجية أخر. (غ.م.ك),5
61031000000,"بدل, مصنرة أو كروشيه, للرجال أو الصبية",5
61032200000,"أطقم, مصنرة أو كروشيه للرجال أو الصبية من قطن",5
61032300000,"أطقم مصنرة أو كروشيه للرجال أو الصبية, من ألياف تركيبية",5
61032900000,أطقم مصنرة أو كروشيه للرجال أو الصبية من مواد نسجية أخر,5
61033100000,جاكيتات وسترات فضفاضة مصنرة أو كروشيه للرجال أو الصبية من صوف أو وبر ناعم,5
61033200000,جاكيتات وسترات فضفاضة مصنرة أو كروشيه للرجال أو الصبية من قطن,5
61033300000,جاكيتات وسترات فضفاضة مصنرة أو كروشيه للرجال أو الصبية من ألياف تركيبية,5
61033900000,"جاكيتات وسترات فضفاضة, مصنرة أو كروشيه للرجال أو الصبية من مواد نسجية آخر",5
61034100000,بنطلونات من جميع الأنواع مصنرة أو كروشيه للرجال أو الصبية من صوف أو وبر ناعم,5
61034200000,بنطلونات من جميع الأنواع مصنرة أو كروشيه للرجال أو الصبية من قطن,5
61034300000,بنطلونات من جميع الأنواع مصنرة أو كروشيه للرجال أو الصبية من ألياف تركيبية,5
61034900000,بنطلونات من جميع الأنواع مصنرة أو كروشيه للرجال أو الصبية من مواد نسجية أخر,5
61041300000,بدل مصنرة أو كروشيه للنساء أو البنات من ألياف تركيبية,5
61041900000,بدل مصنرة أو كروشيه للنساء أو البنات من مواد نسجية آخر,5
61042200000,أطقم مصنرة أو كروشيه للنساء أو البنات من قطن,5
61042300000,أطقم مصنرة أو كروشيه للنساء أو البنات من ألياف تركيبية,5
61042900000,أطقم مصنرة أو كروشيه للنساء أو البنات من مواد نسجية أخر,5
61043100000,"جاكيتات وسترات فضفاضة, مصنرة أو كروشيه للنساء أو البنات من صوف أو وبر ناعم",5
61043200000,جاكيتات وسترات فضفاضة مصنرة أو كروشيه للنساء أو البنات من قطن,5
61043300000,جاكيتات وسترات فضفاضة مصنرة أو كروشيه للنساء أو البنات من ألياف تركيبية,5
61043900000,جاكيتات وسترات فضفاضة مصنرة أو كروشيه للنساء أو البنات من مواد نسجية آخر,5
61044100000,"فساتين, مصنرة أو كروشيه للنساء أو البنات من صوف أو وبر ناعم",5
61044200000,"فساتين, مصنرة أو كروشيه للنساء أو البنات من قطن",5
61044300000,"فساتين, مصنرة أو كروشيه للنساء أو البنات من ألياف تركيبية",5
61044400000,"فساتين, مصنرة أو كروشيه للنساء أو البنات من ألياف صناعية",5
61044900000,"فساتين, مصنرة أو كروشيه للنساء أو البنات من مواد نسجية آخر",5
61045100000,تنانير وتنانير مفصولة مصنرة أو كروشيه للنساء أو البنات من صوف أو وبر ناعم,5
61045200000,تنانير وتنانير مفصولة مصنرة أو كروشيه للنساء أو البنات من قطن,5
61045300000,"تنانير وتنانير مفصولة, مصنرة أو كروشيه للنساء أو البنات من ألياف تركيبية",5
61045900000,تنانير وتنانير مفصولة مصنرة أو كروشيه للنساء أو البنات من مواد نسجية أخر,5
61046100000,بنطلونات من جميع الأنواع مصنرة أو كروشيه للنساء أو البنات من صوف أو وبر ناعم,5
61046200000,بنطلونات من جميع الأنواع مصنرة أو كروشيه للنساء أو البنات من قطن,5
